Property Name|Default|Meaning|Since Version
spark.sql.execution.pandas.structHandlingMode|legacy|"The conversion mode of struct type when creating pandas DataFrame. When ""legacy"", 1. when Arrow optimization is disabled, convert to Row object, 2. when Arrow optimization is enabled, convert to dict or raise an Exception if there are duplicated nested field names. When ""row"", convert to Row object regardless of Arrow optimization. When ""dict"", convert to dict and use suffixed key names, e.g., a_0, a_1, if there are duplicated nested field names, regardless of Arrow optimization."|3.5.0
spark.sql.execution.pandas.udf.buffer.size|(value ofspark.buffer.size)|Same asspark.buffer.sizebut only applies to Pandas UDF executions. If it is not set, the fallback isspark.buffer.size. Note that Pandas execution requires more than 4 bytes. Lowering this value could make small Pandas UDF batch iterated and pipelined; however, it might degrade performance. See SPARK-27870.|3.0.0
spark.sql.execution.pyspark.binaryAsBytes|true|When true, BinaryType is consistently mapped to bytes in PySpark. When false, restores the PySpark behavior before 4.1.0. Before 4.1.0, BinaryType is mapped to bytearray for regular UDF and UDTF without Arrow optimization, DataFrame APIs (both Spark Classic and Spark Connect), and data sources; BinaryType is mapped to bytes for Arrow-optimized UDF and UDTF with legacy pandas conversion.|4.1.0
spark.sql.execution.pyspark.udf.daemonKillWorkerOnFlushFailure|(value ofspark.python.daemon.killWorkerOnFlushFailure)|Same as spark.python.daemon.killWorkerOnFlushFailure for Python execution with DataFrame and SQL. It can change during runtime.|4.1.0
spark.sql.execution.pyspark.udf.faulthandler.enabled|(value ofspark.python.worker.faulthandler.enabled)|Same as spark.python.worker.faulthandler.enabled for Python execution with DataFrame and SQL. It can change during runtime.|4.0.0
spark.sql.execution.pyspark.udf.hideTraceback.enabled|false|When true, only show the message of the exception from Python UDFs, hiding the stack trace. If this is enabled, simplifiedTraceback has no effect.|4.0.0
spark.sql.execution.pyspark.udf.idleTimeoutSeconds|(value ofspark.python.worker.idleTimeoutSeconds)|Same as spark.python.worker.idleTimeoutSeconds for Python execution with DataFrame and SQL. It can change during runtime.|4.0.0
spark.sql.execution.pyspark.udf.killOnIdleTimeout|(value ofspark.python.worker.killOnIdleTimeout)|Same as spark.python.worker.killOnIdleTimeout for Python execution with DataFrame and SQL. It can change during runtime.|4.1.0
spark.sql.execution.pyspark.udf.simplifiedTraceback.enabled|true|When true, the traceback from Python UDFs is simplified. It hides the Python worker, (de)serialization, etc from PySpark in tracebacks, and only shows the exception messages from UDFs. Note that this works only with CPython 3.7+.|3.1.0
spark.sql.execution.pyspark.udf.tracebackDumpIntervalSeconds|(value ofspark.python.worker.tracebackDumpIntervalSeconds)|Same as spark.python.worker.tracebackDumpIntervalSeconds for Python execution with DataFrame and SQL. It can change during runtime.|4.1.0
spark.sql.execution.python.udf.buffer.size|(value ofspark.buffer.size)|Same asspark.buffer.sizebut only applies to Python UDF executions. If it is not set, the fallback isspark.buffer.size.|4.0.0
spark.sql.execution.python.udf.maxRecordsPerBatch|100|When using Python UDFs, limit the maximum number of records that can be batched for serialization/deserialization.|4.0.0
spark.sql.execution.pythonUDF.arrow.concurrency.level|(none)|The level of concurrency to execute Arrow-optimized Python UDF. This can be useful if Python UDFs use I/O intensively.|4.0.0
spark.sql.execution.pythonUDF.arrow.enabled|false|Enable Arrow optimization in regular Python UDFs. This optimization can only be enabled when the given function takes at least one argument.|3.4.0
spark.sql.execution.pythonUDF.pandas.intToDecimalCoercionEnabled|false|When true, convert int to Decimal python objects before converting Pandas.Series to Arrow array during serialization.Disabled by default, impacts performance.|4.1.0
spark.sql.execution.pythonUDTF.arrow.enabled|false|Enable Arrow optimization for Python UDTFs.|3.5.0
spark.sql.execution.topKSortFallbackThreshold|2147483632|In SQL queries with a SORT followed by a LIMIT like 'SELECT x FROM t ORDER BY y LIMIT m', if m is under this threshold, do a top-K sort in memory, otherwise do a global sort which spills to disk if necessary.|2.4.0
spark.sql.extendedExplainProviders|(none)|A comma-separated list of classes that implement the org.apache.spark.sql.ExtendedExplainGenerator trait. If provided, Spark will print extended plan information from the providers in explain plan and in the UI|4.0.0
spark.sql.files.ignoreCorruptFiles|false|Whether to ignore corrupt files. If true, the Spark jobs will continue to run when encountering corrupted files and the contents that have been read will still be returned. This configuration is effective only when using file-based sources such as Parquet, JSON and ORC.|2.1.1
spark.sql.files.ignoreInvalidPartitionPaths|false|Whether to ignore invalid partition paths that do not match <column>=<value>. When the option is enabled, table with two partition directories 'table/invalid' and 'table/col=1' will only load the latter directory and ignore the invalid partition|4.0.0
spark.sql.files.ignoreMissingFiles|false|Whether to ignore missing files. If true, the Spark jobs will continue to run when encountering missing files and the contents that have been read will still be returned. This configuration is effective only when using file-based sources such as Parquet, JSON and ORC.|2.3.0
spark.sql.files.maxPartitionBytes|128MB|The maximum number of bytes to pack into a single partition when reading files. This configuration is effective only when using file-based sources such as Parquet, JSON and ORC.|2.0.0
spark.sql.files.maxPartitionNum|(none)|The suggested (not guaranteed) maximum number of split file partitions. If it is set, Spark will rescale each partition to make the number of partitions is close to this value if the initial number of partitions exceeds this value. This configuration is effective only when using file-based sources such as Parquet, JSON and ORC.|3.5.0
spark.sql.files.maxRecordsPerFile|0|Maximum number of records to write out to a single file. If this value is zero or negative, there is no limit.|2.2.0
spark.sql.files.minPartitionNum|(none)|The suggested (not guaranteed) minimum number of split file partitions. If not set, the default value isspark.sql.leafNodeDefaultParallelism. This configuration is effective only when using file-based sources such as Parquet, JSON and ORC.|3.1.0
spark.sql.function.concatBinaryAsString|false|When this option is set to false and all inputs are binary,functions.concatreturns an output as binary. Otherwise, it returns as a string.|2.3.0
spark.sql.function.eltOutputAsString|false|When this option is set to false and all inputs are binary,eltreturns an output as binary. Otherwise, it returns as a string.|2.3.0
spark.sql.geospatial.enabled|false|When true, enables geospatial types (GEOGRAPHY/GEOMETRY) and ST functions.|4.1.0
spark.sql.groupByAliases|true|When true, aliases in a select list can be used in group by clauses. When false, an analysis exception is thrown in the case.|2.2.0
spark.sql.groupByOrdinal|true|When true, the ordinal numbers in group by clauses are treated as the position in the select list. When false, the ordinal numbers are ignored.|2.0.0
spark.sql.hive.convertInsertingPartitionedTable|true|When set to true, andspark.sql.hive.convertMetastoreParquetorspark.sql.hive.convertMetastoreOrcis true, the built-in ORC/Parquet writer is usedto process inserting into partitioned ORC/Parquet tables created by using the HiveSQL syntax.|3.0.0
spark.sql.hive.convertInsertingUnpartitionedTable|true|When set to true, andspark.sql.hive.convertMetastoreParquetorspark.sql.hive.convertMetastoreOrcis true, the built-in ORC/Parquet writer is usedto process inserting into unpartitioned ORC/Parquet tables created by using the HiveSQL syntax.|4.0.0
spark.sql.hive.convertMetastoreAsNullable|false|When set to true, apply nullable to the schema when Spark use datasource APIs instead of Hive serde to read/write Hive tables in Parquet or ORC formats. This flag is effective only ifconvertMetastoreParquetorconvertMetastoreOrcis enabled respectively. It's recommended to set to true, when the nullability of table schema is inconsistent between the metastore and the data files.|4.1.0
spark.sql.hive.convertMetastoreCtas|true|When set to true, Spark will try to use built-in data source writer instead of Hive serde in CTAS. This flag is effective only ifspark.sql.hive.convertMetastoreParquetorspark.sql.hive.convertMetastoreOrcis enabled respectively for Parquet and ORC formats|3.0.0
spark.sql.hive.convertMetastoreInsertDir|true|When set to true, Spark will try to use built-in data source writer instead of Hive serde in INSERT OVERWRITE DIRECTORY. This flag is effective only ifspark.sql.hive.convertMetastoreParquetorspark.sql.hive.convertMetastoreOrcis enabled respectively for Parquet and ORC formats|3.3.0
spark.sql.hive.convertMetastoreOrc|true|When set to true, the built-in ORC reader and writer are used to process ORC tables created by using the HiveQL syntax, instead of Hive serde.|2.0.0
spark.sql.hive.convertMetastoreParquet|true|When set to true, the built-in Parquet reader and writer are used to process parquet tables created by using the HiveQL syntax, instead of Hive serde.|1.1.1
spark.sql.hive.convertMetastoreParquet.mergeSchema|false|"When true, also tries to merge possibly different but compatible Parquet schemas in different Parquet data files. This configuration is only effective when ""spark.sql.hive.convertMetastoreParquet"" is true."|1.3.1
spark.sql.hive.dropPartitionByName.enabled|false|When true, Spark will get partition name rather than partition object to drop partition, which can improve the performance of drop partition.|3.4.0
spark.sql.hive.filesourcePartitionFileCacheSize|262144000|When nonzero, enable caching of partition file metadata in memory. All tables share a cache that can use up to specified num bytes for file metadata. This conf only has an effect when hive filesource partition management is enabled.|2.1.1
spark.sql.hive.manageFilesourcePartitions|true|When true, enable metastore partition management for file source tables as well. This includes both datasource and converted Hive tables. When partition management is enabled, datasource tables store partition in the Hive metastore, and use the metastore to prune partitions during query planning when spark.sql.hive.metastorePartitionPruning is set to true.|2.1.1
spark.sql.hive.metastorePartitionPruning|true|When true, some predicates will be pushed down into the Hive metastore so that unmatching partitions can be eliminated earlier.|1.5.0
spark.sql.hive.metastorePartitionPruningFallbackOnException|false|Whether to fallback to get all partitions from Hive metastore and perform partition pruning on Spark client side, when encountering MetaException from the metastore. Note that Spark query performance may degrade if this is enabled and there are many partitions to be listed. If this is disabled, Spark will fail the query instead.|3.3.0
spark.sql.hive.metastorePartitionPruningFastFallback|false|When this config is enabled, if the predicates are not supported by Hive or Spark does fallback due to encountering MetaException from the metastore, Spark will instead prune partitions by getting the partition names first and then evaluating the filter expressions on the client side. Note that the predicates with TimeZoneAwareExpression is not supported.|3.3.0
spark.sql.hive.thriftServer.async|true|When set to true, Hive Thrift server executes SQL queries in an asynchronous way.|1.5.0
spark.sql.icu.caseMappings.enabled|true|When enabled we use the ICU library (instead of the JVM) to implement case mappings for strings under UTF8_BINARY collation.|4.0.0
spark.sql.inMemoryColumnarStorage.batchSize|10000|Controls the size of batches for columnar caching. Larger batch sizes can improve memory utilization and compression, but risk OOMs when caching data.|1.1.1
spark.sql.inMemoryColumnarStorage.compressed|true|When set to true Spark SQL will automatically select a compression codec for each column based on statistics of the data.|1.0.1
spark.sql.inMemoryColumnarStorage.enableVectorizedReader|true|Enables vectorized reader for columnar caching.|2.3.1
spark.sql.inMemoryColumnarStorage.hugeVectorReserveRatio|1.2|When spark.sql.inMemoryColumnarStorage.hugeVectorThreshold <= 0 or the required memory is smaller than spark.sql.inMemoryColumnarStorage.hugeVectorThreshold, spark reserves required memory * 2 memory; otherwise, spark reserves required memory * this ratio memory, and will release this column vector memory before reading the next batch rows.|4.0.0
spark.sql.inMemoryColumnarStorage.hugeVectorThreshold|-1b|When the required memory is larger than this, spark reserves required memory * spark.sql.inMemoryColumnarStorage.hugeVectorReserveRatio memory next time and release this column vector memory before reading the next batch rows. -1 means disabling the optimization.|4.0.0
spark.sql.json.filterPushdown.enabled|true|When true, enable filter pushdown to JSON datasource.|3.1.0
spark.sql.json.useUnsafeRow|false|When set to true, use UnsafeRow to represent struct result in the JSON parser. It can be overwritten by the JSON optionuseUnsafeRow.|4.0.0
spark.sql.jsonGenerator.ignoreNullFields|true|Whether to ignore null fields when generating JSON objects in JSON data source and JSON functions such as to_json. If false, it generates null for null fields in JSON objects.|3.0.0
spark.sql.leafNodeDefaultParallelism|(none)|The default parallelism of Spark SQL leaf nodes that produce data, such as the file scan node, the local data scan node, the range node, etc. The default value of this config is 'SparkContext#defaultParallelism'.|3.2.0
spark.sql.legacy.hive.thriftServer.useZeroBasedColumnOrdinalPosition|false|When set to true, Hive Thrift server returns 0-based ORDINAL_POSITION in the result of GetColumns operation, instead of the corrected 1-based.|4.1.0
spark.sql.mapKeyDedupPolicy|EXCEPTION|The policy to deduplicate map keys in builtin function: CreateMap, MapFromArrays, MapFromEntries, StringToMap, MapConcat and TransformKeys. When EXCEPTION, the query fails if duplicated map keys are detected. When LAST_WIN, the map key that is inserted at last takes precedence.|3.0.0
spark.sql.mapZipWithUsesJavaCollections|true|When true, themap_zip_withfunction uses Java collections instead of Scala collections. This is useful for avoiding NaN equality issues.|4.1.0
spark.sql.maven.additionalRemoteRepositories|https://maven-central.storage-download.googleapis.com/maven2/|A comma-delimited string config of the optional additional remote Maven mirror repositories. This is only used for downloading Hive jars in IsolatedClientLoader if the default Maven Central repo is unreachable.|3.0.0
spark.sql.maxBroadcastTableSize|8589934592b|The maximum table size in bytes that can be broadcast in broadcast joins.|4.1.0
spark.sql.maxMetadataStringLength|100|Maximum number of characters to output for a metadata string. e.g. file location inDataSourceScanExec, every value will be abbreviated if exceed length.|3.1.0
spark.sql.maxPlanStringLength|2147483632|Maximum number of characters to output for a plan string. If the plan is longer, further output will be truncated. The default setting always generates a full plan. Set this to a lower value such as 8k if plan strings are taking up too much memory or are causing OutOfMemory errors in the driver or UI processes.|3.0.0
spark.sql.maxSinglePartitionBytes|128m|The maximum number of bytes allowed for a single partition. Otherwise, The planner will introduce shuffle to improve parallelism.|3.4.0
spark.sql.operatorPipeSyntaxEnabled|true|"If true, enable operator pipe syntax for Apache Spark SQL. This uses the operator pipe marker |> to indicate separation between clauses of SQL in a manner that describes the sequence of steps that the query performs in a composable fashion."|4.0.0
spark.sql.optimizer.avoidCollapseUDFWithExpensiveExpr|true|Whether to avoid collapsing projections that would duplicate expensive expressions in UDFs.|4.0.0
spark.sql.optimizer.collapseProjectAlwaysInline|false|Whether to always collapse two adjacent projections and inline expressions even if it causes extra duplication.|3.3.0
spark.sql.optimizer.dynamicPartitionPruning.enabled|true|When true, we will generate predicate for partition column when it's used as join key|3.0.0
spark.sql.optimizer.enableCsvExpressionOptimization|true|Whether to optimize CSV expressions in SQL optimizer. It includes pruning unnecessary columns from from_csv.|3.2.0
spark.sql.optimizer.enableJsonExpressionOptimization|true|Whether to optimize JSON expressions in SQL optimizer. It includes pruning unnecessary columns from from_json, simplifying from_json + to_json, to_json + named_struct(from_json.col1, from_json.col2, ....).|3.1.0
spark.sql.optimizer.excludedRules|(none)|Configures a list of rules to be disabled in the optimizer, in which the rules are specified by their rule names and separated by comma. It is not guaranteed that all the rules in this configuration will eventually be excluded, as some rules are necessary for correctness. The optimizer will log the rules that have indeed been excluded.|2.4.0
spark.sql.optimizer.runtime.bloomFilter.applicationSideScanSizeThreshold|10GB|Byte size threshold of the Bloom filter application side plan's aggregated scan size. Aggregated scan byte size of the Bloom filter application side needs to be over this value to inject a bloom filter.|3.3.0
spark.sql.optimizer.runtime.bloomFilter.creationSideThreshold|10MB|Size threshold of the bloom filter creation side plan. Estimated size needs to be under this value to try to inject bloom filter.|3.3.0
spark.sql.optimizer.runtime.bloomFilter.enabled|true|When true and if one side of a shuffle join has a selective predicate, we attempt to insert a bloom filter in the other side to reduce the amount of shuffle data.|3.3.0
spark.sql.optimizer.runtime.bloomFilter.expectedNumItems|1000000|The default number of expected items for the runtime bloomfilter|3.3.0
spark.sql.optimizer.runtime.bloomFilter.maxNumBits|67108864|The max number of bits to use for the runtime bloom filter|3.3.0
spark.sql.optimizer.runtime.bloomFilter.maxNumItems|4000000|The max allowed number of expected items for the runtime bloom filter|3.3.0
spark.sql.optimizer.runtime.bloomFilter.numBits|8388608|The default number of bits to use for the runtime bloom filter|3.3.0
spark.sql.optimizer.runtime.rowLevelOperationGroupFilter.enabled|true|Enables runtime group filtering for group-based row-level operations. Data sources that replace groups of data (e.g. files, partitions) may prune entire groups using provided data source filters when planning a row-level operation scan. However, such filtering is limited as not all expressions can be converted into data source filters and some expressions can only be evaluated by Spark (e.g. subqueries). Since rewriting groups is expensive, Spark can execute a query at runtime to find what records match the condition of the row-level operation. The information about matching records will be passed back to the row-level operation scan, allowing data sources to discard groups that don't have to be rewritten.|3.4.0
spark.sql.optimizer.runtimeFilter.number.threshold|10|The total number of injected runtime filters (non-DPP) for a single query. This is to prevent driver OOMs with too many Bloom filters.|3.3.0
spark.sql.orc.aggregatePushdown|false|If true, aggregates will be pushed down to ORC for optimization. Support MIN, MAX and COUNT as aggregate expression. For MIN/MAX, support boolean, integer, float and date type. For COUNT, support all data types. If statistics is missing from any ORC file footer, exception would be thrown.|3.3.0
spark.sql.orc.columnarReaderBatchSize|4096|The number of rows to include in a orc vectorized reader batch. The number should be carefully chosen to minimize overhead and avoid OOMs in reading data.|2.4.0
spark.sql.orc.columnarWriterBatchSize|1024|The number of rows to include in a orc vectorized writer batch. The number should be carefully chosen to minimize overhead and avoid OOMs in writing data.|3.4.0
spark.sql.orc.compression.codec|zstd|Sets the compression codec used when writing ORC files. If eithercompressionororc.compressis specified in the table-specific options/properties, the precedence would becompression,orc.compress,spark.sql.orc.compression.codec. Acceptable values include: none, uncompressed, snappy, zlib, lzo, zstd, lz4, brotli.|2.3.0
spark.sql.orc.enableNestedColumnVectorizedReader|true|Enables vectorized orc decoding for nested column.|3.2.0
spark.sql.orc.enableVectorizedReader|true|Enables vectorized orc decoding.|2.3.0
spark.sql.orc.filterPushdown|true|When true, enable filter pushdown for ORC files.|1.4.0
spark.sql.orc.mergeSchema|false|When true, the Orc data source merges schemas collected from all data files, otherwise the schema is picked from a random data file.|3.0.0
spark.sql.orderByOrdinal|true|When true, the ordinal numbers are treated as the position in the select list. When false, the ordinal numbers in order/sort by clause are ignored.|2.0.0
spark.sql.parquet.aggregatePushdown|false|If true, aggregates will be pushed down to Parquet for optimization. Support MIN, MAX and COUNT as aggregate expression. For MIN/MAX, support boolean, integer, float and date type. For COUNT, support all data types. If statistics is missing from any Parquet file footer, exception would be thrown.|3.3.0
spark.sql.parquet.binaryAsString|false|Some other Parquet-producing systems, in particular Impala and older versions of Spark SQL, do not differentiate between binary data and strings when writing out the Parquet schema. This flag tells Spark SQL to interpret binary data as a string to provide compatibility with these systems.|1.1.1
spark.sql.parquet.columnarReaderBatchSize|4096|The number of rows to include in a parquet vectorized reader batch. The number should be carefully chosen to minimize overhead and avoid OOMs in reading data.|2.4.0
spark.sql.parquet.compression.codec|snappy|Sets the compression codec used when writing Parquet files. If eithercompressionorparquet.compressionis specified in the table-specific options/properties, the precedence would becompression,parquet.compression,spark.sql.parquet.compression.codec. Acceptable values include: none, uncompressed, snappy, gzip, lzo, brotli, lz4, lz4_raw, zstd.|1.1.1
spark.sql.parquet.enableNestedColumnVectorizedReader|true|Enables vectorized Parquet decoding for nested columns (e.g., struct, list, map). Requires spark.sql.parquet.enableVectorizedReader to be enabled.|3.3.0
spark.sql.parquet.enableNullTypeVectorizedReader|true|Enables vectorized Parquet reader support for NullType columns.|4.1.0
spark.sql.parquet.enableVectorizedReader|true|Enables vectorized parquet decoding.|2.0.0
spark.sql.parquet.fieldId.read.enabled|false|Field ID is a native field of the Parquet schema spec. When enabled, Parquet readers will use field IDs (if present) in the requested Spark schema to look up Parquet fields instead of using column names|3.3.0
spark.sql.parquet.fieldId.read.ignoreMissing|false|When the Parquet file doesn't have any field IDs but the Spark read schema is using field IDs to read, we will silently return nulls when this flag is enabled, or error otherwise.|3.3.0
spark.sql.parquet.fieldId.write.enabled|true|Field ID is a native field of the Parquet schema spec. When enabled, Parquet writers will populate the field Id metadata (if present) in the Spark schema to the Parquet schema.|3.3.0
spark.sql.parquet.filterPushdown|true|Enables Parquet filter push-down optimization when set to true.|1.2.0
spark.sql.parquet.inferTimestampNTZ.enabled|true|When enabled, Parquet timestamp columns with annotation isAdjustedToUTC = false are inferred as TIMESTAMP_NTZ type during schema inference. Otherwise, all the Parquet timestamp columns are inferred as TIMESTAMP_LTZ types. Note that Spark writes the output schema into Parquet's footer metadata on file writing and leverages it on file reading. Thus this configuration only affects the schema inference on Parquet files which are not written by Spark.|3.4.0
spark.sql.parquet.int96AsTimestamp|true|Some Parquet-producing systems, in particular Impala, store Timestamp into INT96. Spark would also store Timestamp as INT96 because we need to avoid precision lost of the nanoseconds field. This flag tells Spark SQL to interpret INT96 data as a timestamp to provide compatibility with these systems.|1.3.0
spark.sql.parquet.int96TimestampConversion|false|This controls whether timestamp adjustments should be applied to INT96 data when converting to timestamps, for data written by Impala. This is necessary because Impala stores INT96 data with a different timezone offset than Hive & Spark.|2.3.0
spark.sql.parquet.mergeSchema|false|When true, the Parquet data source merges schemas collected from all data files, otherwise the schema is picked from the summary file or a random data file if no summary file is available.|1.5.0
spark.sql.parquet.outputTimestampType|INT96|Sets which Parquet timestamp type to use when Spark writes data to Parquet files. INT96 is a non-standard but commonly used timestamp type in Parquet. TIMESTAMP_MICROS is a standard timestamp type in Parquet, which stores number of microseconds from the Unix epoch. TIMESTAMP_MILLIS is also standard, but with millisecond precision, which means Spark has to truncate the microsecond portion of its timestamp value.|2.3.0
spark.sql.parquet.recordLevelFilter.enabled|false|If true, enables Parquet's native record-level filtering using the pushed down filters. This configuration only has an effect when 'spark.sql.parquet.filterPushdown' is enabled and the vectorized reader is not used. You can ensure the vectorized reader is not used by setting 'spark.sql.parquet.enableVectorizedReader' to false.|2.3.0
spark.sql.parquet.respectSummaryFiles|false|When true, we make assumption that all part-files of Parquet are consistent with summary files and we will ignore them when merging schema. Otherwise, if this is false, which is the default, we will merge all part-files. This should be considered as expert-only option, and shouldn't be enabled before knowing what it means exactly.|1.5.0
spark.sql.parquet.variant.annotateLogicalType.enabled|true|When enabled, Spark annotates the variant groups written to Parquet as the parquet variant logical type.|4.1.0
spark.sql.parquet.writeLegacyFormat|false|If true, data will be written in a way of Spark 1.4 and earlier. For example, decimal values will be written in Apache Parquet's fixed-length byte array format, which other systems such as Apache Hive and Apache Impala use. If false, the newer format in Parquet will be used. For example, decimals will be written in int-based format. If Parquet output is intended for use with systems that do not support this newer format, set to true.|1.6.0
spark.sql.parser.quotedRegexColumnNames|false|When true, quoted Identifiers (using backticks) in SELECT statement are interpreted as regular expressions.|2.3.0
spark.sql.pipelines.maxFlowRetryAttempts|2|Maximum number of times a flow can be retried|4.1.0
spark.sql.pivotMaxValues|10000|When doing a pivot without specifying values for the pivot column this is the maximum number of (distinct) values that will be collected without error.|1.6.0
spark.sql.planner.pythonExecution.memory|(none)|Specifies the memory allocation for executing Python code in Spark driver, in MiB. When set, it caps the memory for Python execution to the specified amount. If not set, Spark will not limit Python's memory usage and it is up to the application to avoid exceeding the overhead memory space shared with other non-JVM processes. Note: Windows does not support resource limiting and actual resource is not limited on MacOS.|4.0.0
spark.sql.preserveCharVarcharTypeInfo|false|When true, Spark does not replace CHAR/VARCHAR types the STRING type, which is the default behavior of Spark 3.0 and earlier versions. This means the length checks for CHAR/VARCHAR types is enforced and CHAR type is also properly padded.|4.0.0
spark.sql.pyspark.inferNestedDictAsStruct.enabled|false|PySpark's SparkSession.createDataFrame infers the nested dict as a map by default. When it set to true, it infers the nested dict as a struct.|3.3.0
spark.sql.pyspark.jvmStacktrace.enabled|false|When true, it shows the JVM stacktrace in the user-facing PySpark exception together with Python stacktrace. By default, it is disabled to hide JVM stacktrace and shows a Python-friendly exception only. Note that this is independent from log level settings.|3.0.0
spark.sql.pyspark.plotting.max_rows|1000|The visual limit on plots. If set to 1000 for top-n-based plots (pie, bar, barh), the first 1000 data points will be used for plotting. For sampled-based plots (scatter, area, line), 1000 data points will be randomly sampled.|4.0.0
spark.sql.pyspark.udf.profiler|(none)|"Configure the Python/Pandas UDF profiler by enabling or disabling it with the option to choose between ""perf"" and ""memory"" types, or unsetting the config disables the profiler. This is disabled by default."|4.0.0
spark.sql.pyspark.worker.logging.enabled|false|When set to true, this configuration enables comprehensive logging within Python worker processes that execute User-Defined Functions (UDFs), User-Defined Table Functions (UDTFs), and other Python-based operations in Spark SQL.|4.1.0
spark.sql.python.filterPushdown.enabled|false|When true, enable filter pushdown to Python datasource, at the cost of running Python worker one additional time during planning.|4.1.0
spark.sql.readSideCharPadding|true|When true, Spark applies string padding when reading CHAR type columns/fields, in addition to the write-side padding. This config is true by default to better enforce CHAR type semantic in cases such as external tables.|3.4.0
spark.sql.redaction.options.regex|(?i)url|Regex to decide which keys in a Spark SQL command's options map contain sensitive information. The values of options whose names that match this regex will be redacted in the explain output. This redaction is applied on top of the global redaction configuration defined by spark.redaction.regex.|2.2.2
spark.sql.redaction.string.regex|(value ofspark.redaction.string.regex)|Regex to decide which parts of strings produced by Spark contain sensitive information. When this regex matches a string part, that string part is replaced by a dummy value. This is currently used to redact the output of SQL explain commands. When this conf is not set, the value fromspark.redaction.string.regexis used.|2.3.0
spark.sql.repl.eagerEval.enabled|false|Enables eager evaluation or not. When true, the top K rows of Dataset will be displayed if and only if the REPL supports the eager evaluation. Currently, the eager evaluation is supported in PySpark and SparkR. In PySpark, for the notebooks like Jupyter, the HTML table (generated byrepr_html) will be returned. For plain Python REPL, the returned outputs are formatted like dataframe.show(). In SparkR, the returned outputs are showed similar to R data.frame would.|2.4.0
spark.sql.repl.eagerEval.maxNumRows|20|The max number of rows that are returned by eager evaluation. This only takes effect when spark.sql.repl.eagerEval.enabled is set to true. The valid range of this config is from 0 to (Int.MaxValue - 1), so the invalid config like negative and greater than (Int.MaxValue - 1) will be normalized to 0 and (Int.MaxValue - 1).|2.4.0
spark.sql.repl.eagerEval.truncate|20|The max number of characters for each cell that is returned by eager evaluation. This only takes effect when spark.sql.repl.eagerEval.enabled is set to true.|2.4.0
spark.sql.scripting.enabled|true|SQL Scripting feature is under development and its use should be done under this feature flag. SQL Scripting enables users to write procedural SQL including control flow and error handling.|4.0.0
spark.sql.session.localRelationCacheThreshold|1048576|The threshold for the size in bytes of local relations to be cached at the driver side after serialization.|3.5.0
spark.sql.session.localRelationChunkSizeBytes|16777216|The chunk size in bytes when splitting ChunkedCachedLocalRelation.data into batches. A new chunk is created when either spark.sql.session.localRelationChunkSizeBytes or spark.sql.session.localRelationChunkSizeRows is reached. Limited by the spark.sql.session.localRelationBatchOfChunksSizeBytes, a minimum of the two confs is used to determine the chunk size.|4.1.0
spark.sql.session.localRelationChunkSizeRows|10000|The chunk size in number of rows when splitting ChunkedCachedLocalRelation.data into batches. A new chunk is created when either spark.sql.session.localRelationChunkSizeBytes or spark.sql.session.localRelationChunkSizeRows is reached.|4.1.0
spark.sql.session.timeZone|(value of local timezone)|"The ID of session local timezone in the format of either region-based zone IDs or zone offsets. Region IDs must have the form 'area/city', such as 'America/Los_Angeles'. Zone offsets must be in the format '(+|-)HH', '(+|-)HH:mm' or '(+|-)HH:mm:ss', e.g '-08', '+01:00' or '-13:33:33'. Also 'UTC' and 'Z' are supported as aliases of '+00:00'. Other short names are not recommended to use because they can be ambiguous."|2.2.0
spark.sql.shuffle.orderIndependentChecksum.enableFullRetryOnMismatch|false|Whether to retry all tasks of a consumer stage when we detect checksum mismatches with its producer stages.|4.1.0
spark.sql.shuffle.orderIndependentChecksum.enabled|false|Whether to calculate order independent checksum for the shuffle data or not. If enabled, Spark will calculate a checksum that is independent of the input row order for each mapper and returns the checksums from executors to driver. This is different from the checksum computed when spark.shuffle.checksum.enabled is enabled which is sensitive to shuffle data ordering to detect file corruption. While this checksum will be the same even if the shuffle row order changes and it is used to detect whether different task attempts of the same partition produce different output data or not (same set of keyValue pairs). In case the output data has changed across retries, Spark will need to retry all tasks of the consumer stages to avoid correctness issues.|4.1.0
spark.sql.shuffle.partitions|200|The default number of partitions to use when shuffling data for joins or aggregations.|1.1.0
spark.sql.shuffleDependency.fileCleanup.enabled|false|(Deprecated since Spark 4.1, please set 'spark.sql.connect.shuffleDependency.fileCleanup.enabled'.)|4.0.0
spark.sql.shuffleDependency.skipMigration.enabled|false|When enabled, shuffle dependencies for a Spark Connect SQL execution are marked at the end of the execution, and they will not be migrated during decommissions.|4.0.0
spark.sql.shuffledHashJoinFactor|3|The shuffle hash join can be selected if the data size of small side multiplied by this factor is still smaller than the large side.|3.3.0
spark.sql.sources.bucketing.autoBucketedScan.enabled|true|When true, decide whether to do bucketed scan on input tables based on query plan automatically. Do not use bucketed scan if 1. query does not have operators to utilize bucketing (e.g. join, group-by, etc), or 2. there's an exchange operator between these operators and table scan. Note when 'spark.sql.sources.bucketing.enabled' is set to false, this configuration does not take any effect.|3.1.0
spark.sql.sources.bucketing.enabled|true|When false, we will treat bucketed table as normal table|2.0.0
spark.sql.sources.bucketing.maxBuckets|100000|The maximum number of buckets allowed.|2.4.0
spark.sql.sources.default|parquet|The default data source to use in input/output.|1.3.0
